runtime,function_id,value,time,dim
1,1,1.7407257316283722e-37,23.200882911682129,10
1,2,8.9452583105339212e-35,66.077462673187256,10
1,3,92.37925878182827,43.918923616409302,10
1,4,10.174461225567846,40.390747308731079,10
1,5,0,34.46490216255188,10
1,6,0.00021599387909643428,46.626749753952026,10
2,1,1.8962884222447302e-37,15.78644323348999,10
2,2,9.0833754214024928e-35,49.450572967529297,10
2,3,92.379401420748223,30.856837034225464,10
2,4,10.174623388958182,33.803224325180054,10
2,5,0,42.140607118606567,10
2,6,5.6572035022274861e-05,41.53150200843811,10
3,1,2.9040412934915158e-38,22.114106416702271,10
3,2,3.10378545500031e-35,51.685181856155396,10
3,3,92.379234550030532,39.763451814651489,10
3,4,10.1744733202455,31.420043230056763,10
3,5,0,38.998385906219482,10
3,6,0.00016068473116687311,45.230302333831787,10
4,1,1.2542959995391262e-37,21.061967611312866,10
4,2,8.6012209546458572e-35,50.632561206817627,10
4,3,92.379235115059529,32.10615873336792,10
4,4,10.174634595340919,45.716181993484497,10
4,5,0,32.410283327102661,10
4,6,5.4249075023980797e-05,46.76457691192627,10
5,1,1.4469653622324692e-37,22.935515880584717,10
5,2,1.4215957261301079e-34,46.156622648239136,10
5,3,92.379234710221183,36.683896541595459,10
5,4,10.174462955321635,34.131521224975586,10
5,5,0,30.237284421920776,10
5,6,0.00012398610074336133,47.024542331695557,10
1,1,0.0004350713693255803,33.165776252746582,30
1,2,0.37595633562428182,109.53853392601013,30
1,3,280.9193402425995,50.946955919265747,30
1,4,12.273027289551905,51.653338193893433,30
1,5,2.3748974511152797e-05,54.586739063262939,30
1,6,40.055759946001274,109.1334216594696,30
2,1,0.00051546047723857844,32.730000495910645,30
2,2,0.27435820869107069,115.0180549621582,30
2,3,280.06993193439359,49.039232969284058,30
2,4,12.499900409378071,71.602088451385498,30
2,5,8.4254916314713492e-11,49.027212619781494,30
2,6,52.156385547764671,106.93392586708069,30
3,1,0.00079356302754826473,33.821103096008301,30
3,2,0.19667439855066457,116.56519317626953,30
3,3,280.07029789310377,40.816606044769287,30
3,4,12.608442316427663,53.096049308776855,30
3,5,4.5987707783877149e-08,49.465068340301514,30
3,6,58.359427476383992,103.60965442657471,30
4,1,0.00079084512856463852,34.691685438156128,30
4,2,0.37606231678974933,116.72863221168518,30
4,3,280.77466120928278,53.148327112197876,30
4,4,12.250444982476679,53.934637069702148,30
4,5,5.2483634995148013e-07,41.922285079956055,30
4,6,48.723566797453493,122.64591765403748,30
5,1,0.00067063187814561816,36.66234016418457,30
5,2,0.33197570452631331,109.9993736743927,30
5,3,281.0240211187662,45.727070569992065,30
5,4,12.465625264331907,59.822763681411743,30
5,5,4.6674337184871432e-06,45.852197885513306,30
5,6,36.629125965878622,109.12551045417786,30
1,1,0.70869384429446192,43.422483682632446,50
1,2,844.20569341547946,176.65496063232422,50
1,3,479.13118934511095,64.929835557937622,50
1,4,14.657734067634602,74.637691974639893,50
1,5,1.4659420273075647e-05,58.621099233627319,50
1,6,806.3411728125817,176.54847455024719,50
2,1,0.56241308546847901,50.133990526199341,50
2,2,498.30297972421829,170.55900144577026,50
2,3,483.63357202240365,58.33196496963501,50
2,4,14.588009510884271,67.420109987258911,50
2,5,9.1172865683383129e-06,68.564843654632568,50
2,6,1690.5871767073484,168.97536849975586,50
3,1,0.52720548017315816,49.081716537475586,50
3,2,525.7612947862159,164.33367967605591,50
3,3,480.25720499351371,71.241198062896729,50
3,4,14.673969249504184,75.410738468170166,50
3,5,1.5824649958326939e-05,60.07699990272522,50
3,6,920.28392404780618,178.22105312347412,50
4,1,0.56727409269832452,47.511122226715088,50
4,2,389.35074681276313,163.3216609954834,50
4,3,483.55275731202408,68.202175378799438,50
4,4,14.716753510779844,71.651784658432007,50
4,5,3.5048594974694553e-05,57.389632225036621,50
4,6,1630.3766905254099,167.67076897621155,50
5,1,0.67107643898757363,46.484539747238159,50
5,2,326.88856585627298,187.49790382385254,50
5,3,478.47278236947704,57.482591390609741,50
5,4,14.16343588808699,71.451824903488159,50
5,5,8.8552689064343861e-08,64.500319957733154,50
5,6,1103.1308176403134,165.27436470985413,50
